Time,Lat,Lon,Alt,EllH,East,North,Up
2022/07/15 5:17:09,34.981968308,135.963816235,186.2393,221.2544,-0.0000,0.0000,35.0152
2022/07/15 5:17:10,34.981968333,135.963814753,186.3932,221.4084,-0.1353,0.0027,35.1691
2022/07/15 5:17:11,34.981967423,135.963813459,186.5556,221.5707,-0.2534,-0.0982,35.3315
2022/07/15 5:17:12,34.981968240,135.963813198,186.4732,221.4884,-0.2773,-0.0076,35.2491
2022/07/15 5:17:13,34.981968523,135.963813069,186.6030,221.6182,-0.2890,0.0238,35.3789
2022/07/15 5:17:14,34.981968877,135.963813124,186.6711,221.6863,-0.2840,0.0631,35.4470
2022/07/15 5:17:15,34.981968754,135.963813004,186.7548,221.7699,-0.2950,0.0495,35.5307
2022/07/15 5:17:16,34.981969042,135.963813218,186.7645,221.7797,-0.2754,0.0814,35.5404
2022/07/15 5:17:17,34.981968751,135.963813335,186.8810,221.8962,-0.2648,0.0491,35.6569
2022/07/15 5:17:18,34.981968755,135.963813449,186.9182,221.9334,-0.2543,0.0496,35.6941
2022/07/15 5:17:19,34.981968728,135.963813473,186.8516,221.8668,-0.2522,0.0465,35.6275
2022/07/15 5:17:20,34.981968580,135.963813647,186.9029,221.9181,-0.2362,0.0302,35.6788
2022/07/15 5:17:21,34.981968253,135.963814081,186.8843,221.8995,-0.1967,-0.0061,35.6602
2022/07/15 5:17:22,34.981968289,135.963814209,186.8596,221.8748,-0.1849,-0.0021,35.6355
2022/07/15 5:17:23,34.981968032,135.963814292,186.8835,221.8987,-0.1773,-0.0307,35.6594
2022/07/15 5:17:24,34.981967898,135.963814416,186.8777,221.8929,-0.1661,-0.0455,35.6536
2022/07/15 5:17:25,34.981966552,135.963815648,186.8500,221.8651,-0.0535,-0.1949,35.6259
2022/07/15 5:17:26,34.981965533,135.963816555,186.8114,221.8266,0.0293,-0.3079,35.5873
2022/07/15 5:17:27,34.981963961,135.963815236,186.8582,221.8734,-0.0912,-0.4823,35.6341
2022/07/15 5:17:28,34.981963171,135.963814280,186.8576,221.8728,-0.1785,-0.5700,35.6335
2022/07/15 5:17:29,34.981962691,135.963813480,186.8879,221.9030,-0.2515,-0.6232,35.6638
